tag_name,name
Action,Counter-Strike
FPS,Counter-Strike
Multiplayer,Counter-Strike
Action,Team Fortress Classic
FPS,Team Fortress Classic
Multiplayer,Team Fortress Classic
FPS,Day of Defeat
World War II,Day of Defeat
Multiplayer,Day of Defeat
Action,Deathmatch Classic
FPS,Deathmatch Classic
Multiplayer,Deathmatch Classic
FPS,Half-Life: Opposing Force
Action,Half-Life: Opposing Force
Sci-fi,Half-Life: Opposing Force
Action,Ricochet
FPS,Ricochet
Multiplayer,Ricochet
FPS,Half-Life
Classic,Half-Life
Action,Half-Life
Action,Counter-Strike: Condition Zero
FPS,Counter-Strike: Condition Zero
Multiplayer,Counter-Strike: Condition Zero
FPS,Half-Life: Blue Shift
Action,Half-Life: Blue Shift
Sci-fi,Half-Life: Blue Shift
FPS,Half-Life 2
Action,Half-Life 2
Sci-fi,Half-Life 2
Action,Counter-Strike: Source
FPS,Counter-Strike: Source
Multiplayer,Counter-Strike: Source
FPS,Half-Life: Source
Action,Half-Life: Source
Sci-fi,Half-Life: Source
FPS,Day of Defeat: Source
World War II,Day of Defeat: Source
Multiplayer,Day of Defeat: Source
Action,Half-Life 2: Deathmatch
FPS,Half-Life 2: Deathmatch
Multiplayer,Half-Life 2: Deathmatch
FPS,Half-Life 2: Lost Coast
Action,Half-Life 2: Lost Coast
Singleplayer,Half-Life 2: Lost Coast
Action,Half-Life Deathmatch: Source
FPS,Half-Life Deathmatch: Source
Multiplayer,Half-Life Deathmatch: Source
FPS,Half-Life 2: Episode One
Action,Half-Life 2: Episode One
Sci-fi,Half-Life 2: Episode One
Puzzle,Portal
First-Person,Portal
Singleplayer,Portal
FPS,Half-Life 2: Episode Two
Action,Half-Life 2: Episode Two
Sci-fi,Half-Life 2: Episode Two
Free to Play,Team Fortress 2
Multiplayer,Team Fortress 2
FPS,Team Fortress 2
Zombies,Left 4 Dead
Co-op,Left 4 Dead
FPS,Left 4 Dead
Zombies,Left 4 Dead 2
Co-op,Left 4 Dead 2
FPS,Left 4 Dead 2
Free to Play,Dota 2
MOBA,Dota 2
Strategy,Dota 2
Puzzle,Portal 2
Co-op,Portal 2
First-Person,Portal 2
Free to Play,Alien Swarm
Co-op,Alien Swarm
Action,Alien Swarm
FPS,Counter-Strike: Global Offensive
Multiplayer,Counter-Strike: Global Offensive
Shooter,Counter-Strike: Global Offensive
Indie,Rag Doll Kung Fu
Fighting,Rag Doll Kung Fu
Multiplayer,Rag Doll Kung Fu
